ts_s,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps
5.401,0.4285,-0.2301,1.0817,91.2977,118.2901,9.9924
5.421,0.3861,-0.2736,1.1227,109.7099,143.9542,12.1603
5.441,0.2085,-0.2601,1.3108,55.771,116.5115,-2.6641
5.462,0.323,-0.1385,1.2013,35.5649,81.8397,3.0382
5.481,0.2903,-0.0913,1.1072,58.8473,73.2137,-9.0763
5.501,0.283,-0.0953,1.1013,50.626,69.0229,-3.9237
5.521,0.2186,-0.1353,1.2363,27.687,79.5038,8.4427
5.541,0.1637,-0.1189,1.3083,18.7252,52.5878,10.916
5.561,0.2356,-0.1287,1.2527,46.4427,34.0916,7.5191
5.581,0.2645,-0.1095,1.1615,107.6718,4.4656,-7.3817
5.601,0.2198,-0.0593,1.2076,113.1145,-5.6183,-16.2595
5.621,0.1379,-0.0325,1.2855,105.084,-11.7252,-6.2748
5.641,0.1593,0.0002,1.2706,77.1069,-1.6794,-2.6489
5.661,0.2087,0.0398,1.208,50.3359,-1.9466,-9.084
5.681,0.1798,0.1545,1.2839,34.7405,-10.626,4.5954
5.701,0.1896,0.1659,1.2991,74.458,-19.6565,37.0458
5.721,0.2585,0.1119,1.1278,110.9618,-31.5114,55.8168
5.741,0.2402,0.0938,1.0515,97.916,-32.8244,30.5725
5.761,0.1874,0.1283,1.0955,41.6412,-20.3588,3.7634
5.781,0.2146,0.1332,1.0703,21.7481,-17.8244,-19.3511
5.801,0.2609,0.1649,1.0056,24.8092,-22.1908,-13.458
5.821,0.2255,0.1576,1.0406,34.6107,-15.855,-0.9313
5.841,0.2444,0.2036,1.0492,25.1832,-10.4427,-1.8015
5.861,0.2524,0.2211,1.0576,13.7557,-5.2137,-0.5725
5.881,0.2561,0.2126,1.0852,4.3969,-5.6336,-7.8168
5.901,0.2285,0.234,1.1421,11.8168,-2.771,-5.4046
5.921,0.2365,0.2379,1.1356,-7.7176,5.2366,-10.7023
5.941,0.3162,0.2537,1.0729,-16.8168,1.1527,-13.3588
5.961,0.2606,0.2329,1.1226,1.4885,-3.458,2.6412
5.981,0.2435,0.2158,1.1152,4.1908,-4.2672,0.4733
6.001,0.2316,0.2137,1.1305,-1.1374,0.1985,-0.3969
6.021,0.2659,0.2159,1.1072,-9.1374,1.4351,-5.9237
6.041,0.2648,0.2278,1.1012,-11.0153,0.0992,-7.1221
6.061,0.2546,0.2327,1.1101,-4.4962,-1.3588,-0.9237
6.081,0.2463,0.2407,1.1385,-5.1527,0.374,-2.5344
6.102,0.2792,0.2374,1.1191,-6.3969,-0.145,-4.9618
6.121,0.2712,0.2351,1.0913,-3.3817,-3.4809,-5.6947
6.141,0.2393,0.2634,1.1083,-38.3053,-2.1298,-2.7252
6.161,0.2433,0.1628,1.0886,-71.3053,-2.7786,-5.1527
6.181,0.2722,0.1769,1.1398,-47.5115,-1.9313,1.8321
6.201,0.2627,0.199,1.1521,-26.2137,-4.7939,2.7176
6.221,0.2435,0.1711,1.1388,-16.374,-5.5267,1.3435
6.241,0.262,0.1483,1.1079,-10.7786,-4.5954,-0.4962
6.261,0.2703,0.1633,1.104,-11.1298,-3.6107,0.2366
6.281,0.2668,0.1787,1.129,-22.0687,-1.6641,7.3969
6.301,0.2545,0.1654,1.1183,-7.626,-2.2595,6.8244
6.321,0.2675,0.131,1.0917,-10.0458,-2.2672,4.916
6.341,0.271,0.1202,1.1124,-16.0,-2.3817,-3.8779
6.361,0.2515,0.1377,1.1266,-11.0763,2.8702,-5.313
6.381,0.2714,0.1593,1.1216,6.9389,-0.8702,4.6183
6.401,0.2811,0.1666,1.1113,-13.1679,0.0687,6.084
6.421,0.2732,0.1501,1.0962,-58.229,4.3817,3.542
6.441,0.2592,0.0623,1.1127,-63.4198,2.1756,1.1908
6.461,0.2596,0.0966,1.1515,-37.2901,3.9924,3.7405
6.481,0.2848,0.1152,1.146,-37.542,3.3282,2.4962
6.501,0.2794,0.0658,1.1138,-60.084,7.6031,3.771
6.521,0.2605,0.0543,1.1425,-49.7634,0.5649,-0.5496
6.541,0.2462,0.0258,1.1304,-56.0458,3.0076,5.8779
6.561,0.2681,-0.0122,1.1052,-79.3053,4.771,6.4351
6.581,0.2725,-0.0211,1.1304,-54.6565,-2.0,8.0916
6.601,0.2543,-0.015,1.1743,-15.2214,-2.1221,3.2137
6.621,0.2504,-0.0363,1.1423,0.9695,-3.2061,-3.6412
6.641,0.2758,-0.0111,1.1354,3.0534,-1.8779,3.7481
6.661,0.283,-0.0267,1.1063,-10.3359,-0.4504,3.687
6.681,0.2562,-0.0151,1.1256,-1.4962,-3.6412,1.9389
6.701,0.2667,-0.0291,1.1178,4.9237,-1.7176,4.9313
